"id","has_exterior","name"
34525,true,Dual Berettas | Colony (Factory New)
34530,true,Dual Berettas | Contractor (Factory New)
34537,true,Dual Berettas | Dualing Dragons (Factory New)
34542,true,Dual Berettas | Duelist (Factory New)
34546,true,Dual Berettas | Hemoglobin (Factory New)
34550,true,Dual Berettas | Marina (Factory New)
34555,true,Dual Berettas | Moon in Libra (Factory New)
34560,true,Dual Berettas | Panther (Factory New)
34564,true,Dual Berettas | Retribution (Factory New)
34569,true,Dual Berettas | Royal Consorts (Factory New)
34578,true,Dual Berettas | Urban Shock (Factory New)
34582,true,Dual Berettas | Ventilators (Factory New)
34620,true,FAMAS | Afterimage (Factory New)
34625,true,FAMAS | Colony (Factory New)
34630,true,FAMAS | Contrast Spray (Factory New)
34635,true,FAMAS | Cyanospatter (Factory New)
34640,true,FAMAS | Djinn (Factory New)
34646,true,FAMAS | Hexane (Factory New)
34651,true,FAMAS | Macabre (Factory New)
34656,true,FAMAS | Mecha Industries (Factory New)
34661,true,FAMAS | Neural Net (Factory New)
34665,true,FAMAS | Pulse (Factory New)
34670,true,FAMAS | Roll Cage (Factory New)
34679,true,FAMAS | Spitfire (Factory New)
34684,true,FAMAS | Styx (Factory New)
34689,true,FAMAS | Survivor Z (Factory New)
34694,true,FAMAS | Teardown (Factory New)
34699,true,FAMAS | Valence (Factory New)
34704,true,Five-SeveN | Anodized Gunmetal (Factory New)
34706,true,Five-SeveN | Candy Apple (Factory New)
34710,true,Five-SeveN | Capillary (Factory New)
34715,true,Five-SeveN | Case Hardened (Factory New)
34720,true,Five-SeveN | Contractor (Factory New)
34724,true,Five-SeveN | Copper Galaxy (Factory New)
34728,true,Five-SeveN | Forest Night (Factory New)
34733,true,Five-SeveN | Fowl Play (Factory New)
34738,true,Five-SeveN | Hot Shot (Factory New)
34743,true,Five-SeveN | Hyper Beast (Factory New)
34748,true,Five-SeveN | Jungle (Factory New)
34752,true,Five-SeveN | Kami (Factory New)
34760,true,Five-SeveN | Neon Kimono (Factory New)
34765,true,Five-SeveN | Nightshade (Factory New)
34770,true,Five-SeveN | Nitro (Factory New)
34775,true,Five-SeveN | Orange Peel (Factory New)
34779,true,Five-SeveN | Retrobution (Factory New)
34784,true,Five-SeveN | Scumbria (Factory New)
34788,true,Five-SeveN | Silver Quartz (Factory New)
34793,true,Five-SeveN | Triumvirate (Factory New)
34797,true,Five-SeveN | Urban Hazard (Factory New)
34805,true,G3SG1 | Arctic Camo (Factory New)
34809,true,G3SG1 | Azure Zebra (Factory New)
